decision_type,decision_key,signature,count,sample_fid,sample_master,sample_summary,decision,notes
pattern,INFO|Topic:+;Record Header:+;PNAM:+;Responses:+;TCLT:+;TCLF:+;,INFO,3,00061C78,Oblivion.esm,"Topic+,""Record Header+"",PNAM+,Responses+,TCLT+,TCLF+",keep,
pattern,LVLC|Record Header:+;LVLF:1->11;,LVLC,3,0000BAA3,Oblivion.esm,"""Record Header+"",LVLF",keep,
pattern,NPC_|Record Header:+;ENAM:+;ZNAM:+;,NPC_,3,000034D4,Oblivion.esm,"""Record Header+"",ENAM+,ZNAM+",keep,
pattern,NPC_|Record Header:+;LNAM:0.000000->0.001000;ENAM:+;,NPC_,3,0000A08B,Oblivion.esm,"""Record Header+"",LNAM,ENAM+",keep,
pattern,"NPC_|Record Header:+;SPLO:+;CNAM:Guard ""Guard"" [CLAS:00034E6E]->aatGuardBravil ""Bravil Guard"" [C;ZNAM:+;",NPC_,3,0000A15E,Oblivion.esm,"""Record Header+"",SPLO+,CNAM,ZNAM+",keep,
pattern,NPC_|Record Header:+;ENAM:+;ZNAM:+;FNAM:45 7F->48 1D;,NPC_,3,000222B8,Oblivion.esm,"""Record Header+"",ENAM+,ZNAM+,FNAM",keep,
pattern,NPC_|Record Header:+;FNAM:5C 55->E6 21;,NPC_,3,000234BB,Oblivion.esm,"""Record Header+"",FNAM",keep,
pattern,NPC_|Record Header:+;SPLO:+;SCRI:+;,NPC_,3,000234C1,Oblivion.esm,"""Record Header+"",SPLO+,SCRI+",keep,
pattern,"NPC_|Record Header:+;CNAM:Sorcerer ""Sorcerer"" [CLAS:000237->Sorcerer ""Battlemage"" [CLAS:0002;",NPC_,3,0002D022,Oblivion.esm,"""Record Header+"",CNAM",keep,
pattern,NPC_|Record Header:+;SCRI:+;ZNAM:NPCNecromancer [CSTY:000CA0D6]->NPCNecromancerCold [CSTY:050114B;,NPC_,3,0004B937,Oblivion.esm,"""Record Header+"",SCRI+,ZNAM",keep,
pattern,"NPC_|Record Header:+;FULL:Pilgrim of Zenithar->Priest of Zenithar;SCRI:+;CNAM:Priest ""Priest"" [CLAS:00023785]->OblivifallLMRChapelHealer ""Heale;",NPC_,3,04006AC5,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,SCRI+,CNAM",keep,
pattern,"NPC_|Record Header:+;FULL:Pilgrim of Julianos->Priestess of Julianos;SCRI:+;CNAM:Priest ""Priest"" [CLAS:00023785]->OblivifallLMRChapelHealer ""Heale;",NPC_,3,04006B0C,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,SCRI+,CNAM",keep,
pattern,"NPC_|Record Header:+;FULL:Amazon Blood Thorn Hunter->Briarborn Stalker;CNAM:AmazonMissile ""Amazon Man-Hunter->AmazonMissile ""Briarborn Hunter"";",NPC_,3,04029C8A,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,CNAM",keep,
pattern,REFR|Cell:+;Record Header:+;NAME:LL1Vampire100 [LVLC:000340E4]->LL1VampireZ100Death [LVLC:050243;XESP:+;,REFR,3,00048E58,Oblivion.esm,"Cell+,""Record Header+"",NAME,XESP+",keep,
pattern,REFR|Cell:+;Record Header:+;NAME:LL2ConjurerLair100 [LVLC:000340E->LL2ConjurerZLair100 [LVLC:050243;XESP:+;,REFR,3,000CAC41,Oblivion.esm,"Cell+,""Record Header+"",NAME,XESP+",keep,
pattern,REFR|Cell:+;Record Header:+;NAME:LL2ConjurerLair50 [LVLC:000340EB->LL2ConjurerZLair100 [LVLC:050243;XESP:+;,REFR,3,000CABC3,Oblivion.esm,"Cell+,""Record Header+"",NAME,XESP+",keep,
pattern,ARMO|Record Header:+;,ARMO,2,76037D62,OOOShiveringIsles.esp,"""Record Header+""",drop,
pattern,CONT|Record Header:+;FULL:Chest->Rotten Chest;,CONT,2,0003755A,Oblivion.esm,"""Record Header+"",FULL",keep,
pattern,CREA|Record Header:+;ZNAM:DefaultMinotaurLord [CSTY:0002D6->DefaultMinotaurLordCold [CSTY:05;,CREA,2,0001E648,Oblivion.esm,"""Record Header+"",ZNAM",keep,
pattern,CREA|Record Header:+;CNTO:+;SCRI:+;,CREA,2,00027388,Oblivion.esm,"""Record Header+"",CNTO+,SCRI+",keep,
pattern,CREA|Record Header:+;FULL:Ebony Golem->Ebony Atronach;Sound Types:+;,CREA,2,04002259,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,""Sound Types+""",keep,
pattern,CREA|Record Header:+;FULL:Silver Golem->Silver Atronach;Sound Types:+;,CREA,2,040030BD,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,""Sound Types+""",keep,
pattern,CREA|Record Header:+;FULL:Glass Golem->Malachite Atronach;CNTO:+;Sound Types:+;,CREA,2,04004746,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,CNTO+,""Sound Types+""",keep,
pattern,CREA|Record Header:+;FULL:Gold Golem->Gold Atronach;CNTO:+;Sound Types:+;,CREA,2,04004755,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,CNTO+,""Sound Types+""",keep,
pattern,CREA|Record Header:+;WNAM:3.000000->20.000000;,CREA,2,04007FE3,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",WNAM",keep,
pattern,CREA|Record Header:+;BNAM:1.150000->1.060000;,CREA,2,04007FFC,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",BNAM",keep,
pattern,CREA|Record Header:+;BNAM:1.050000->1.120000;,CREA,2,040084E9,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",BNAM",keep,
pattern,CREA|Record Header:+;FULL:Skeleton Guardian->Skeleton Guardian Archer;,CREA,2,04008A29,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL",keep,
pattern,CREA|Record Header:+;BNAM:1.100000->1.130000;,CREA,2,040210FC,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",BNAM",keep,
pattern,"CREA|Record Header:+;RNAM:50->16;BNAM:0.700000->0.600000;WNAM:5.000000->6.000000;CSCR:MOOSpider01 ""Giant Spider"" [CREA->TestCreatureSpiderDaedra [CREA:0;",CREA,2,A400F05D,Maskar's Oblivion Overhaul.esp,"""Record Header+"",RNAM,BNAM,WNAM,CSCR",keep,
pattern,DIAL|Record Header:+;,DIAL,2,000000C8,Oblivion.esm,"""Record Header+""",drop,
pattern,ENCH|Record Header:+;Effects:+;,ENCH,2,04002F51,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",Effects+",keep,
pattern,"NPC_|Record Header:+;CNAM:Battlemage ""Battlemage"" [CLAS:00->Battlemage ""Sorceror"" [CLAS:0002;FNAM:7E 34->B6 03;",NPC_,2,000151FC,Oblivion.esm,"""Record Header+"",CNAM,FNAM",keep,
pattern,"NPC_|Record Header:+;SPLO:+;CNAM:BladeClass ""Blade Class"" [CLAS:0->BladeClass ""Blade"" [CLAS:0009348;",NPC_,2,00020078,Oblivion.esm,"""Record Header+"",SPLO+,CNAM",keep,
pattern,"NPC_|Record Header:+;CNAM:Sorcerer ""Sorcerer"" [CLAS:000237->Sorcerer ""Battlemage"" [CLAS:0002;ZNAM:+;",NPC_,2,000234BC,Oblivion.esm,"""Record Header+"",CNAM,ZNAM+",keep,
pattern,"NPC_|Record Header:+;SPLO:+;CNAM:Warrior ""Warrior"" [CLAS:00023787->OscuroUOPMQ11Allies ""MQ11 Allies;ZNAM:+;",NPC_,2,00026F0D,Oblivion.esm,"""Record Header+"",SPLO+,CNAM,ZNAM+",keep,
pattern,NPC_|Record Header:+;SCRI:+;LNAM:0.000000->0.001000;,NPC_,2,0002D020,Oblivion.esm,"""Record Header+"",SCRI+,LNAM",keep,
pattern,NPC_|Record Header:+;SPLO:+;SCRI:+;ENAM:+;,NPC_,2,0002FF2A,Oblivion.esm,"""Record Header+"",SPLO+,SCRI+,ENAM+",keep,
pattern,"NPC_|Record Header:+;RNAM:Khajiit ""Khajiit"" [RACE:000223C7->Khajiit ""Khajiit Cathay"" [RACE:0;SPLO:+;ZNAM:+;",NPC_,2,00035703,Oblivion.esm,"""Record Header+"",RNAM,SPLO+,ZNAM+",keep,
pattern,"NPC_|Record Header:+;RNAM:Khajiit ""Khajiit"" [RACE:000223C7->Khajiit ""Khajiit Cathay"" [RACE:0;SCRI:+;ZNAM:+;",NPC_,2,0003DB2B,Oblivion.esm,"""Record Header+"",RNAM,SCRI+,ZNAM+",keep,
pattern,NPC_|Record Header:+;SCRI:+;ZNAM:+;,NPC_,2,0003DB2D,Oblivion.esm,"""Record Header+"",SCRI+,ZNAM+",keep,
pattern,NPC_|Record Header:+;FULL:Necromancer->Obsessed Necromancer;SCRI:+;ENAM:+;ZNAM:NPCNecromancer [CSTY:000CA0D6]->NPCNecromancerFrantic [CSTY:0501;,NPC_,2,0004B939,Oblivion.esm,"""Record Header+"",FULL,SCRI+,ENAM+,ZNAM",keep,
pattern,NPC_|Record Header:+;INAM:+;,NPC_,2,0007B3A6,Oblivion.esm,"""Record Header+"",INAM+",keep,
pattern,NPC_|Record Header:+;HNAM:+;LNAM:+;ENAM:+;ZNAM:+;,NPC_,2,000C8C6C,Oblivion.esm,"""Record Header+"",HNAM+,LNAM+,ENAM+,ZNAM+",keep,
pattern,"NPC_|Record Header:+;FULL:Amazon Raging Priestess->Briarborn Hedge Witch;CNAM:AmazonPriestess ""Amazon Raging P->AmazonPriestess ""Briarborn Hedge;ENAM:+;",NPC_,2,04003A14,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,CNAM,ENAM+",keep,
pattern,"NPC_|Record Header:+;FULL:Pilgrim of Stendarr->Priestess of Stendarr;RNAM:Imperial ""Imperial"" [RACE:000009->Nord ""Nord"" [RACE:000224FD];SCRI:+;CNAM:Priest ""Priest"" [CLAS:00023785]->OblivifallLMRChapelHealer ""Heale;",NPC_,2,04006ADD,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,RNAM,SCRI+,CNAM",keep,
pattern,"NPC_|Record Header:+;FULL:Pilgrim of Kynareth->Priest of Kynareth;SCRI:+;CNAM:Priest ""Priest"" [CLAS:00023785]->OblivifallLMRChapelHealer ""Heale;",NPC_,2,04006B04,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,SCRI+,CNAM",keep,
pattern,"NPC_|Record Header:+;FULL:Pilgrim of Dibella->Priestess of Dibella;SCRI:+;CNAM:Priest ""Priest"" [CLAS:00023785]->OblivifallLMRChapelHealer ""Heale;",NPC_,2,04006B14,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,SCRI+,CNAM",keep,
pattern,"NPC_|Record Header:+;FULL:Pilgrim of Arkay->Priest of Arkay;SCRI:+;CNAM:Priest ""Priest"" [CLAS:00023785]->OblivifallLMRChapelHealer ""Heale;",NPC_,2,04006B1B,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,SCRI+,CNAM",keep,
pattern,"NPC_|Record Header:+;FULL:Pilgrim of Akatosh->Priest of Akatosh;SCRI:+;CNAM:Priest ""Priest"" [CLAS:00023785]->OblivifallLMRChapelHealer ""Heale;",NPC_,2,04007281,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,SCRI+,CNAM",keep,
pattern,"NPC_|Record Header:+;FULL:Amazon Man-Eater->Briarborn Warden;CNAM:AmazonMelee ""Amazon Man-Eater"" [->AmazonMelee ""Briarborn Thorn War;",NPC_,2,040109A0,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,CNAM",keep,
pattern,"NPC_|Record Header:+;FULL:Amazon Man-Eater->Briarborn Tracker;CNAM:AmazonMelee ""Amazon Man-Eater"" [->AmazonMeleeSword ""Briarborn Knig;",NPC_,2,040109A5,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,CNAM",keep,
pattern,NPC_|Record Header:+;FULL:Conjurer->Dagonite Doomsayer;ZNAM:NPCConjurerCold [CSTY:050114B8]->NPCMarauderMage [CSTY:000CA0D3];,NPC_,2,040118F9,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,ZNAM",keep,
pattern,"NPC_|Record Header:+;FULL:Amazon Man-Eater->Briarborn Tracker;RNAM:Khajiit ""Khajiit"" [RACE:000223C7->Khajiit ""Khajiit Cathay"" [RACE:0;CNAM:AmazonMelee ""Amazon Man-Eater"" [->AmazonMelee ""Briarborn Thorn War;",NPC_,2,04022FA1,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,RNAM,CNAM",keep,
pattern,"NPC_|Record Header:+;FULL:Amazon Blood Thorn Hunter->Briarborn Stalker;CNAM:AmazonMissile ""Amazon Man-Hunter->AmazonMissile ""Briarborn Hunter"";ENAM:+;",NPC_,2,04029C8B,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,CNAM,ENAM+",keep,
pattern,REFR|Cell:+;Record Header:+;NAME:LL1SkeletonMelee100 [LVLC:00084B->LL0Skeleton2Guardian100Pack [LVL;,REFR,2,0006C330,Oblivion.esm,"Cell+,""Record Header+"",NAME",keep,
pattern,REFR|Cell:+;Record Header:+;NAME:LL1UndeadBones100 [LVLC:0003409C->LL0Skeleton3Hero100Pack [LVLC:05;,REFR,2,00084031,Oblivion.esm,"Cell+,""Record Header+"",NAME",keep,
pattern,REFR|Cell:+;Record Header:+;NAME:LL1UndeadBones100 [LVLC:0003409C->LL0Skeleton4Champion100Pack [LVL;,REFR,2,00084033,Oblivion.esm,"Cell+,""Record Header+"",NAME",keep,
pattern,REFR|Cell:+;Record Header:+;NAME:LL2Tomb100 [LVLC:000340CF]->LL0Skeleton4Champion100Pack [LVL;,REFR,2,000840A9,Oblivion.esm,"Cell+,""Record Header+"",NAME",keep,
pattern,REFR|Cell:+;Record Header:+;NAME:LL1Vampire100 [LVLC:000340E4]->LL1VampireZ100 [LVLC:0500349A];,REFR,2,000A4371,Oblivion.esm,"Cell+,""Record Header+"",NAME",keep,
pattern,"REFR|Cell:+;Record Header:+;NAME:UpperPitcherCeramic01 ""Ceramic P->UpperPitcherCeramic01fine ""Fine ;XOWN:+;",REFR,2,000A3B9D,Oblivion.esm,"Cell+,""Record Header+"",NAME,XOWN+",keep,
pattern,REFR|Cell:+;Record Header:+;NAME:LL2ConjurerLair50 [LVLC:000340EB->LL2ConjurerZLair50 [LVLC:0504432;XESP:+;,REFR,2,000CABC6,Oblivion.esm,"Cell+,""Record Header+"",NAME,XESP+",keep,
pattern,REFR|Cell:+;Record Header:+;NAME:LL2MythicNatureLairDry100 [LVLC:->LL0Boar50 [LVLC:05025E17];,REFR,2,0000CD7B,Oblivion.esm,"Cell+,""Record Header+"",NAME",keep,
pattern,"ACHR|Cell:+;Record Header:+;NAME:GhostMinionMeleeMale1d ""Ghostly ->GhostMinionMeleeMale1d ""Spectral;XESP:+;",ACHR,1,3D049DF7,Oscuro's_Oblivion_Overhaul.esp,"Cell+,""Record Header+"",NAME,XESP+",keep,
pattern,ARMO|Record Header:+;FULL:Amazon Light Cuirass->Briarborn Light Cuirass;,ARMO,1,0400126C,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL",keep,
pattern,ARMO|Record Header:+;FULL:Amazon Light Greaves->Briarborn Hunter Greaves;,ARMO,1,0400126E,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL",keep,
pattern,ARMO|Record Header:+;FULL:Heaven's Fury Boots->Boots of Heaven's Fury ;SCRI:+;ENAM:+;,ARMO,1,04004C84,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,SCRI+,ENAM+",keep,
pattern,ARMO|Record Header:+;FULL:Heaven's Fury Cuirass->Cuirass of Heaven's Fury ;SCRI:+;ENAM:+;,ARMO,1,04004C85,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,SCRI+,ENAM+",keep,
pattern,ARMO|Record Header:+;FULL:Heaven's Fury Gauntlets->Gauntlets of Heaven's Fury ;SCRI:+;ENAM:+;,ARMO,1,04004C86,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,SCRI+,ENAM+",keep,
