diff_pattern_key,count,sample_target_fid,sample_target_master,sample_signature,sample_change_summary
GMST|Record Header:+;,4,3D008814|Oscuro's_Oblivion_Overhaul.esp|GMST|"""Record Header+"""
SPEL|Record Header:+;Effects:+;,68,0400312C|Oscuro's_Oblivion_Overhaul.esm|SPEL|"""Record Header+"",Effects+"
ARMO|Record Header:+;FULL:Amazon Light Cuirass->Briarborn Light Cuirass;,1,0400126C|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL"
ARMO|Record Header:+;FULL:Amazon Light Greaves->Briarborn Hunter Greaves;,1,0400126E|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL"
ARMO|Record Header:+;FULL:Heaven's Fury Boots->Boots of Heaven's Fury ;SCRI:+;ENAM:+;,1,04004C84|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL,SCRI+,ENAM+"
ARMO|Record Header:+;FULL:Heaven's Fury Cuirass->Cuirass of Heaven's Fury ;SCRI:+;ENAM:+;,1,04004C85|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL,SCRI+,ENAM+"
ARMO|Record Header:+;FULL:Heaven's Fury Gauntlets->Gauntlets of Heaven's Fury ;SCRI:+;ENAM:+;,1,04004C86|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL,SCRI+,ENAM+"
ARMO|Record Header:+;FULL:Heaven's Fury Greaves->Greaves of Heaven's Fury ;SCRI:+;ENAM:+;,1,04004C87|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL,SCRI+,ENAM+"
ARMO|Record Header:+;FULL:Heaven's Fury Helmet->Helmet of Heaven's Fury ;SCRI:+;ENAM:+;,1,04004C88|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL,SCRI+,ENAM+"
ARMO|Record Header:+;FULL:Heaven's Fury Shield->Shield of Heaven's Fury ;SCRI:+;ENAM:+;,1,04004C8A|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL,SCRI+,ENAM+"
ARMO|Record Header:+;FULL:Amazon's Bronze Armor->Briarborn Hunter Armor;,1,0400790C|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL"
ARMO|Record Header:+;FULL:Amazon's Cobalt Armor->Briarborn Hunter Armor;,1,0400790D|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL"
ARMO|Record Header:+;FULL:Amazon's Leather Armor->Briarborn Hunter Armor;,1,0400790E|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL"
ARMO|Record Header:+;FULL:Amazon's Dark Plated Bikini->Briarborn Leather Harness;,1,040329CD|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL"
ARMO|Record Header:+;FULL:Amazon's Dark Plated Greaves->Briarborn Leather Greaves;,1,040329CE|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL"
ARMO|Record Header:+;FULL:Amazon's Dark Cowl->Cowl of the Wise Mother;,1,040329D5|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL"
ARMO|Record Header:+;FULL:Amazon's Dark Plated Boots->Briarborn Leather Boots;,1,04034754|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL"
ARMO|Record Header:+;FULL:Amazon's Dark Plated Gauntlets->Briarborn Leather Gauntlets;,1,04034C3B|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL"
ARMO|Record Header:+;FULL:Chromed Amazon Boots->Granite Briarborn Boots;,1,040392EF|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL"
ARMO|Record Header:+;FULL:Chromed Amazon Cuirass->Granite Briarborn Cuirass;,1,040392F0|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL"
ARMO|Record Header:+;FULL:Chromed Amazon Gauntlets->Granite Briarborn Gauntlets;,1,040392F1|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL"
ARMO|Record Header:+;FULL:Chromed Amazon Greaves->Granite Briarborn Greaves;,1,040392F2|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL"
ARMO|Record Header:+;FULL:Amazon Queen's Boots->Verdant Briarborn Boots;ENAM:+;,1,040392F3|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL,ENAM+"
ARMO|Record Header:+;FULL:Amazon Queen's Cuirass->Verdant Briarborn Cuirass;ENAM:+;,1,040392F4|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL,ENAM+"
ARMO|Record Header:+;FULL:Amazon Queen's Gauntlets->Verdant Briarborn Gauntlets;ENAM:+;,1,040392F5|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL,ENAM+"
ARMO|Record Header:+;FULL:Amazon Queen's Greaves->Verdant Briarborn Greaves;ENAM:+;,1,040392F6|Oscuro's_Oblivion_Overhaul.esm|ARMO|"""Record Header+"",FULL,ENAM+"
ARMO|Record Header:+;,2,76037D62|OOOShiveringIsles.esp|ARMO|"""Record Header+"""
ARMO|Record Header:+;Female:+;,1,76037D63|OOOShiveringIsles.esp|ARMO|"""Record Header+"",Female+"
BOOK|Record Header:+;DESC:<FONT face,1><DIV align="center"-><font face=3 color=000000><DIV a;=1,1><DIV align="center"-><font face=3 color=000000><DIV a;=04011634|Oscuro's_Oblivion_Overhaul.esm|BOOK|"""Record Header+"",DESC"
BOOK|Record Header:+;DESC:<font face,1><br>
<DIV align="c-><font face=3 color=444444><br>
;=1,1><DIV align="center"-><font face=3 color=000000><DIV a;=04011634|Oscuro's_Oblivion_Overhaul.esm|BOOK|"""Record Header+"",DESC"
CLOT|Record Header:+;SCRI:TGGrayCowlScript [SCPT:0003A82B]->OOONewCowlScript [SCPT:050051C0];,1,00022E81|Oblivion.esm|CLOT|"""Record Header+"",SCRI"
CLOT|Record Header:+;SCRI:+;,6,0006EA54|Oblivion.esm|CLOT|"""Record Header+"",SCRI+"
CLOT|Record Header:+;SCRI:+;Female:+;,6,00097600|Oblivion.esm|CLOT|"""Record Header+"",SCRI+,Female+"
CLOT|Record Header:+;FULL:Ciirta's Robe->Ciirta's Robes;SCRI:+;Female:+;,1,00097604|Oblivion.esm|CLOT|"""Record Header+"",FULL,SCRI+,Female+"
CLOT|Record Header:+;ENAM:+;,140,04000D62|Oscuro's_Oblivion_Overhaul.esm|CLOT|"""Record Header+"",ENAM+"
CLOT|Record Header:+;,4,04005B71|Oscuro's_Oblivion_Overhaul.esm|CLOT|"""Record Header+"""
CLOT|Record Header:+;ICO2:+;,1,04005B72|Oscuro's_Oblivion_Overhaul.esm|CLOT|"""Record Header+"",ICO2+"
CLOT|Record Header:+;FULL:Lien Valeth's Robe->Prince of the Underworld's Robes;Female:+;,1,04005B73|Oscuro's_Oblivion_Overhaul.esm|CLOT|"""Record Header+"",FULL,Female+"
CLOT|Record Header:+;FULL:Elegant Robe->Magnificent Mage's Robes;ENAM:+;,1,04005B86|Oscuro's_Oblivion_Overhaul.esm|CLOT|"""Record Header+"",FULL,ENAM+"
CLOT|Record Header:+;ENAM:+;Female:+;,1,04006258|Oscuro's_Oblivion_Overhaul.esm|CLOT|"""Record Header+"",ENAM+,Female+"
CLOT|Record Header:+;EDID:BlackHoodOOO->sOOONecroSeekerHoodSpecial;FULL:Carla's Hood of Night->Hood of the Dark Seeker;,1,0403924A|Oscuro's_Oblivion_Overhaul.esm|CLOT|"""Record Header+"",EDID,FULL"
CLOT|Record Header:+;EDID:BlackRobeOOO->BlackRobeCarlaOOO;FULL:Carla's Robe of Night->Robe of Dark Infinity;ICO2:+;,1,0403CABF|Oscuro's_Oblivion_Overhaul.esm|CLOT|"""Record Header+"",EDID,FULL,ICO2+"
CONT|Record Header:+;,444,00002901|Oblivion.esm|CONT|"""Record Header+"""
CONT|Record Header:+;FULL:Chest->Painted Chest;,1,00024499|Oblivion.esm|CONT|"""Record Header+"",FULL"
CONT|Record Header:+;SCRI:+;,27,000244C7|Oblivion.esm|CONT|"""Record Header+"",SCRI+"
CONT|Record Header:+;SCRI:Dark15DeadDropScript [SCPT:00030->OOOContChestNRDark15DeadDropScri;,1,000301AF|Oblivion.esm|CONT|"""Record Header+"",SCRI"
CONT|Record Header:+;FULL:Chest->Rotten Chest;,2,0003755A|Oblivion.esm|CONT|"""Record Header+"",FULL"
CONT|Record Header:+;FULL:Captain's Tussaud's Booty->Captain Tussaud's Booty;,1,0007B744|Oblivion.esm|CONT|"""Record Header+"",FULL"
CONT|Record Header:+;FULL:Chest->Hannival Traven's Personal Chest;,1,040025A7|Oscuro's_Oblivion_Overhaul.esm|CONT|"""Record Header+"",FULL"
CONT|Record Header:+;FULL:Armory->Elite Blade's Chest;,1,04006D3B|Oscuro's_Oblivion_Overhaul.esm|CONT|"""Record Header+"",FULL"
CONT|Record Header:+;FULL:Chest->Ayleid Reliquary;,1,0401CC47|Oscuro's_Oblivion_Overhaul.esm|CONT|"""Record Header+"",FULL"
CONT|Record Header:+;FULL:The Punished->The Forsaken;SCRI:+;,1,0401CC4A|Oscuro's_Oblivion_Overhaul.esm|CONT|"""Record Header+"",FULL,SCRI+"
CONT|Record Header:+;FULL:Fine Jewelry Box->Forgotten Jewelry Box;,1,040229F1|Oscuro's_Oblivion_Overhaul.esm|CONT|"""Record Header+"",FULL"
CONT|Record Header:+;FULL:Ayleid Cask->Mysterious Ayleid Cask;,1,0402AD41|Oscuro's_Oblivion_Overhaul.esm|CONT|"""Record Header+"",FULL"
CONT|Record Header:+;FULL:Guild Storage->Blades' Storage;,1,04048A2B|Oscuro's_Oblivion_Overhaul.esm|CONT|"""Record Header+"",FULL"
LIGH|Record Header:+;,14,04048F5D|Oscuro's_Oblivion_Overhaul.esm|LIGH|"""Record Header+"""
MISC|Record Header:+;ICON:clutter\GX\Metals\iconsilvernugg->Clutter\Gems\IconSilverNugget.dd;,1,04048F79|Oscuro's_Oblivion_Overhaul.esm|MISC|"""Record Header+"",ICON"
MISC|Record Header:+;ICON:clutter\GX\Metals\icongoldnugget->Clutter\Gems\IconGoldNugget.dds;,1,04048F7A|Oscuro's_Oblivion_Overhaul.esm|MISC|"""Record Header+"",ICON"
WEAP|Record Header:+;FULL:Silver Two-handed Mace->Silver Warhammer;,1,04000D60|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:2H Steel Plated Mauler->Steel Plated Mauler;,1,04002A55|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:2H Wooden Mauler->Wooden Mauler;,1,04002A57|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Volmyr's Sword->Volmyr's Warhammer;ENAM:+;,1,0400D9B0|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL,ENAM+"
WEAP|Record Header:+;SCRI:+;,1,04025677|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",SCRI+"
WEAP|Record Header:+;FULL:Daedric Bardiche->Daedric Halberd;,1,04027666|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Ebony Bardiche->Ebony Halberd;,1,04027667|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Iron Bardiche->Iron Halberd;,1,04027668|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Elven Bardiche->Elven Halberd;,1,04027669|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Fine Iron Bardiche->Fine Iron Halberd;,1,0402766A|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Fine Steel Bardiche->Fine Steel Halberd;,1,0402766B|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Glass Bardiche->Glass Halberd;,1,0402766C|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Orcish Bardiche->Orcish Halberd;,1,0402766D|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Silver Bardiche->Silver Halberd;,1,0402766E|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Steel Bardiche->Steel Halberd;,1,0402766F|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Daedric Baton->Daedric Quarterstaff;,1,0402767B|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Ebony Baton->Ebony Quarterstaff;,1,0402767C|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Iron Baton->Iron Quarterstaff;,1,0402767D|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Elven Baton->Elven Quarterstaff;,1,0402767E|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Fine Iron Baton->Fine Iron Quarterstaff;,1,0402767F|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Fine Steel Baton->Fine Steel Quarterstaff;,1,04027680|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Glass Baton->Glass Quarterstaff;,1,04027681|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Orcish Baton->Orcish Quarterstaff;,1,04027682|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Silver Baton->Silver Quarterstaff;,1,04027683|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Steel Baton->Steel Quarterstaff;,1,04027684|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Spiked Ebony Baton->Spiked Ebony Quarterstaff;,1,04027685|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;FULL:Valkynaz's Battle Axe->Valkynaz Battle Axe;ICON:Weapons\DaedricBattleAxe.dds->weapons\Fireglow\Fireglowaxe.dds;,1,0402CDBB|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL,ICON"
WEAP|Record Header:+;FULL:Valkynaz's Bow->Valkynaz Bow;,1,0402CDBD|Oscuro's_Oblivion_Overhaul.esm|WEAP|"""Record Header+"",FULL"
WEAP|Record Header:+;,1,76037D61|OOOShiveringIsles.esp|WEAP|"""Record Header+"""
NPC_|Record Header:+;SPLO:+;LNAM:0.915220->0.313608;ZNAM:+;,1,00001144|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM,ZNAM+"
"NPC_|Record Header:+;CNAM:Battlemage ""Battlemage"" [CLAS:00->Battlemage ""Sorceror"" [CLAS:0002;",8,00002E94|Oblivion.esm|NPC_|"""Record Header+"",CNAM"
NPC_|Record Header:+;SPLO:+;LNAM:0.000000->0.001000;,9,00002E95|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM"
NPC_|Record Header:+;LNAM:0.000000->0.001000;,6,00002E97|Oblivion.esm|NPC_|"""Record Header+"",LNAM"
NPC_|Record Header:+;HNAM:+;LNAM:+;ENAM:+;FNAM:00 00->2E 4A;,1,00002E98|Oblivion.esm|NPC_|"""Record Header+"",HNAM+,LNAM+,ENAM+,FNAM"
"NPC_|Record Header:+;CNAM:Mage ""Mage"" [CLAS:000105D6]->Battlemage ""Sorceror"" [CLAS:0002;",1,00002E99|Oblivion.esm|NPC_|"""Record Header+"",CNAM"
NPC_|Record Header:+;SPLO:+;,20,000034AF|Oblivion.esm|NPC_|"""Record Header+"",SPLO+"
NPC_|Record Header:+;LNAM:0.000000->0.001000;FNAM:7E 34->B6 03;,1,000034C6|Oblivion.esm|NPC_|"""Record Header+"",LNAM,FNAM"
NPC_|Record Header:+;ZNAM:+;,15,000034C7|Oblivion.esm|NPC_|"""Record Header+"",ZNAM+"
"NPC_|Record Header:+;SPLO:+;CNAM:Pilgrim ""Pilgrim"" [CLAS:00000832->Pilgrim ""Witchhunter"" [CLAS:0000;",1,000034C8|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,CNAM"
NPC_|Record Header:+;LNAM:0.180000->0.557756;ZNAM:+;,1,000034C9|Oblivion.esm|NPC_|"""Record Header+"",LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;ENAM:+;,7,000034CA|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,ENAM+"
NPC_|Record Header:+;SPLO:+;LNAM:0.000000->0.362318;ZNAM:+;FNAM:7E 34->B6 03;,1,000034CF|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM,ZNAM+,FNAM"
NPC_|Record Header:+;SCRI:+;LNAM:0.000000->0.001000;FNAM:5C 55->E6 21;,1,000034D0|Oblivion.esm|NPC_|"""Record Header+"",SCRI+,LNAM,FNAM"
NPC_|Record Header:+;ENAM:+;ZNAM:+;,3,000034D4|Oblivion.esm|NPC_|"""Record Header+"",ENAM+,ZNAM+"
NPC_|Record Header:+;SPLO:+;LNAM:0.000000->0.360000;,1,000034DB|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM"
NPC_|Record Header:+;ZNAM:+;FNAM:45 7F->48 1D;,5,000038B3|Oblivion.esm|NPC_|"""Record Header+"",ZNAM+,FNAM"
NPC_|Record Header:+;ZNAM:DefaultCombatRejectPCYield [CSTY->NPCRejectYieldNecroCold [CSTY:05;,1,000038B5|Oblivion.esm|NPC_|"""Record Header+"",ZNAM"
NPC_|Record Header:+;SPLO:+;LNAM:0.000000->0.447019;ZNAM:+;,1,000039A6|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;LNAM:0.000000->0.510658;,1,000039AB|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM"
NPC_|Record Header:+;SPLO:+;FNAM:7E 34->B6 03;,1,000039AE|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,FNAM"
NPC_|Record Header:+;,129,000092A8|Oblivion.esm|NPC_|"""Record Header+"""
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.708853->0.720800;ZNAM:+;,1,00009C5A|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;LNAM:0.000000->0.015168;ENAM:+;ZNAM:+;,1,0000A086|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM,ENAM+,ZNAM+"
NPC_|Record Header:+;LNAM:0.000000->0.001000;ENAM:+;,3,0000A08B|Oblivion.esm|NPC_|"""Record Header+"",LNAM,ENAM+"
NPC_|Record Header:+;LNAM:0.000000->0.783383;ENAM:+;,1,0000A08C|Oblivion.esm|NPC_|"""Record Header+"",LNAM,ENAM+"
NPC_|Record Header:+;SPLO:+;ZNAM:+;,22,0000A08E|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,ZNAM+"
"NPC_|Record Header:+;RNAM:Khajiit ""Khajiit"" [RACE:000223C7->Khajiit ""Khajiit Cathay"" [RACE:0;LNAM:0.000000->0.984873;ENAM:+;",1,0000A095|Oblivion.esm|NPC_|"""Record Header+"",RNAM,LNAM,ENAM+"
"NPC_|Record Header:+;SPLO:+;SCRI:+;CNAM:Guard ""Guard"" [CLAS:00034E6E]->aatGuardBravil ""Bravil Guard"" [C;ZNAM:+;",9,0000A0B0|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,CNAM,ZNAM+"
NPC_|Record Header:+;SCRI:+;,6,0000A108|Oblivion.esm|NPC_|"""Record Header+"",SCRI+"
"NPC_|Record Header:+;SPLO:+;CNAM:Commoner ""Commoner"" [CLAS:00023C->Knight ""Knight"" [CLAS:00000836];ZNAM:+;",1,0000A10B|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,CNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:BravilCastleGuardScript [SCPT:00->DieYouDamnVanillaGuarDie [SCPT:0;LNAM:0.000000->0.031092;ZNAM:+;,1,0000A13A|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI,LNAM,ZNAM+"
"NPC_|Record Header:+;SPLO:+;CNAM:Guard ""Guard"" [CLAS:00034E6E]->aatGuardBravil ""Bravil Guard"" [C;ZNAM:+;",3,0000A15E|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,CNAM,ZNAM+"
"NPC_|Record Header:+;SPLO:+;HNAM:Ponytail ""Ponytail"" [HAIR:0002C4->aaMillona ""Gathered"" [HAIR:EC003;",1,0000A288|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,HNAM"
"NPC_|Record Header:+;SPLO:+;SCRI:+;CNAM:Guard ""Guard"" [CLAS:00034E6E]->aatGuardAnvil ""Anvil Guard"" [CLA;",1,0000A28B|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,CNAM"
NPC_|Record Header:+;LNAM:0.480000->0.550035;,1,0000A291|Oblivion.esm|NPC_|"""Record Header+"",LNAM"
"NPC_|Record Header:+;SPLO:+;HNAM:MediumLength ""Loose"" [HAIR:00027->Cropped ""Cropped"" [HAIR:0018A891;",1,0000A29B|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,HNAM"
"NPC_|Record Header:+;SPLO:+;CNAM:Thief ""Thief"" [CLAS:0002378F]->BanditMelee ""Bandit"" [CLAS:00034;",1,0000C1D7|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,CNAM"
"NPC_|Record Header:+;RNAM:WoodElf ""Wood Elf"" [RACE:000223C->OOOSE30WoodElf ""Wood Elf"" [RACE:;LNAM:1.000000->0.980000;",1,0001207E|Oblivion.esm|NPC_|"""Record Header+"",RNAM,LNAM"
