target_fid,target_master,signature,editor_id,record_name,change_summary,diff_pattern_key,ooo_touch_reason,target_record_in_current_ooo,recommend
04004E20,Oscuro's_Oblivion_Overhaul.esm,SCPT,ANPCFleeScriptBandit,ANPCFleeScriptBandit [SCPT:05004E20],"""Record Header+"",SCDA,SCTX","SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 08 00 08 00 65->;SCTX:scn ANPCFleeScriptBandit

; Crea->scn ANPCFleeScriptBandit

; Crea;",owns_record,present,review
0400618C,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyMonitorSpellQS,GeomancyMonitorSpellQS [SCPT:0500618C],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 00 00 89->;,owns_record,present,review
0400618E,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyVersionControlQS,GeomancyVersionControlQS [SCPT:0500618E],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00->;,owns_record,present,review
04024407,Oscuro's_Oblivion_Overhaul.esm,SCPT,DieYouDamnVanillaGuarDie,DieYouDamnVanillaGuarDie [SCPT:05024407],"""Record Header+"",SCDA,SCTX","SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 15 00 2E->;SCTX:scn	DieYouDamnVanillaGuarDie

; ->;",owns_record,present,review
0402B75A,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyAmethystFlawedScript,GeomancyAmethystFlawedScript [SCPT:0502B75A],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 03 00 21->;,owns_record,present,review
0402B75D,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyAmethystFlawlessScript,GeomancyAmethystFlawlessScript [SCPT:0502B75D],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 03 00 21->;,owns_record,present,review
0402B797,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyGarnetFlawedRemove,GeomancyGarnetFlawedRemove [SCPT:0502B797],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0402B799,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyGarnetFlawedScript,GeomancyGarnetFlawedScript [SCPT:0502B799],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 03 00 21->;,owns_record,present,review
0402B79A,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyGarnetFlawlessRemove,GeomancyGarnetFlawlessRemove [SCPT:0502B79A],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0402B79B,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyGarnetFlawlessScript,GeomancyGarnetFlawlessScript [SCPT:0502B79B],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 03 00 21->;,owns_record,present,review
0402B79C,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyGarnetNormalRemove,GeomancyGarnetNormalRemove [SCPT:0502B79C],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0402B79D,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyGarnetNormalScript,GeomancyGarnetNormalScript [SCPT:0502B79D],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 03 00 21->;,owns_record,present,review
0402B79E,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyGarnetPerfectRemove,GeomancyGarnetPerfectRemove [SCPT:0502B79E],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0402B79F,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyGarnetPerfectScript,GeomancyGarnetPerfectScript [SCPT:0502B79F],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 03 00 21->;,owns_record,present,review
0402B7A0,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyPTourmalineFlawedRemove,GeomancyPTourmalineFlawedRemove [SCPT:0502B7A0],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0402B7A1,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyPTourmalineFlawedScript,GeomancyPTourmalineFlawedScript [SCPT:0502B7A1],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 03 00 21->;,owns_record,present,review
0402B7A2,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyPTourmalineFlawlessRemove,GeomancyPTourmalineFlawlessRemove [SCPT:0502B7A2],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0402B7A7,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyPTourmalineFlawlessScript,GeomancyPTourmalineFlawlessScript [SCPT:0502B7A7],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 03 00 21->;,owns_record,present,review
0402B7A9,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyPTourmalineNormalRemove,GeomancyPTourmalineNormalRemove [SCPT:0502B7A9],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0402B7AA,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyPTourmalineNormalScript,GeomancyPTourmalineNormalScript [SCPT:0502B7AA],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 03 00 21->;,owns_record,present,review
0402B7AB,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyPTourmalinePerfectRemove,GeomancyPTourmalinePerfectRemove [SCPT:0502B7AB],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0402B7AC,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyPTourmalinePerfectScript,GeomancyPTourmalinePerfectScript [SCPT:0502B7AC],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 03 00 21->;,owns_record,present,review
0402B7AD,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyTourmalineFlawedRemove,GeomancyTourmalineFlawedRemove [SCPT:0502B7AD],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0402B7AE,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyTourmalineFlawedScript,GeomancyTourmalineFlawedScript [SCPT:0502B7AE],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 03 00 21->;,owns_record,present,review
0402B7AF,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyTourmalineFlawlessRemove,GeomancyTourmalineFlawlessRemove [SCPT:0502B7AF],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0402B7B0,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyTourmalineFlawlessScript,GeomancyTourmalineFlawlessScript [SCPT:0502B7B0],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 03 00 21->;,owns_record,present,review
0402B7B1,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyTourmalineNormalRemove,GeomancyTourmalineNormalRemove [SCPT:0502B7B1],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0402B7B2,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyTourmalineNormalScript,GeomancyTourmalineNormalScript [SCPT:0502B7B2],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 03 00 21->;,owns_record,present,review
0402B7B3,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyTourmalinePerfectRemove,GeomancyTourmalinePerfectRemove [SCPT:0502B7B3],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0402B7B4,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyTourmalinePerfectScript,GeomancyTourmalinePerfectScript [SCPT:0502B7B4],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 03 00 21->;,owns_record,present,review
