src,sig,local_fid,edid,apw_only_plugins,apw_full_chain,reborn_full_chain
Oscuro's_Oblivion_Overhaul.esm,ARMO,007EED,EnchBMithrilBootsResistShockOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,034943,DremoraMQ14MarkynazGauntletsPlayable,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,00CFD1,ObsidianGreaves,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,007A02,EnchRGlassShieldShockShieldOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,01ABFC,DaedricGreavesLavaOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,026C64,pegasusshieldOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0392F4,EYQMAcuirassOOO,"APW - Conflict Resolution.esp|Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp|APW - Conflict Resolution.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,048F55,DefStaffDwarvenOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,004C87,HeavenFuryGreavesGold,"APW - Conflict Resolution.esp|Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp|APW - Conflict Resolution.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006ACC,EnchBMithrilShieldShieldOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,01936B,Dremora3KynreeveGauntlets,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006ABD,EnchBMithrilGreavesSpellAbsorptionOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,007EF3,ElvenEldar3ShieldOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006AC1,EnchBMithrilHelmetDetectLifeOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,001BC9,EnchDMithrilCuirassFortHealthOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,03DDF8,HeavyBraidedShieldOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,025BBB,ScorpionShieldHeavyOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,00D853,LegionHelmetOldImperialTarnished,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006A97,DMithrilGauntletsOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0056EC,RGlassBootsOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0020CC,ElvenEldarGauntletsOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,048F44,EnchElvenEldar3GreavesFortLightArmorOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006FF0,EnchElvenEldar2ShieldFrostShieldOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,048F37,EnchElvenEldar3BootsResistFrostOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,03885F,ShadowMailHelmetOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,025672,TheSilverDragonGreavesOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,025671,TheSilverDragonGauntletsOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0020D5,EnchRLeatherCuirassResistPoisonOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,025BB9,RedDragonShieldHeavyOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,01ABFF,DaedricShieldLavaOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0116FA,ImperialPalaceCuirassCapePurple,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006FE3,EnchElvenEldar2GreavesFortAgilityOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0020CB,ElvenEldarCuirassOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,007013,EnchGMithrilShieldFrostShieldOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,035792,javrmbga01OOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,005DCC,EnchObsidianGreavesFortLuck,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006FF9,EnchGMithrilBootsFortSpeedOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0116FB,ImperialPalaceCuirassCapeWhite,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0065B6,EnchBGlassGauntletsFortSecurityOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0020DC,EnchRLeatherGreavesFortLightArmorOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006FCB,EnchElvenEldarGreavesSpellAbsorptionOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0065B2,EnchBGlassCuirassResistNormalWeaponsOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,034754,vellaChainBootsOOO,"APW - Conflict Resolution.esp|Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp|APW - Conflict Resolution.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,002654,DreadHelmetOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006FBF,EnchElvenEldarCuirassFortMercantileOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,004C88,HeavenFuryHelmetGold,"APW - Conflict Resolution.esp|Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp|APW - Conflict Resolution.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0065BC,EnchBGlassGreavesResistParalysisOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0065BE,EnchBGlassHelmetDetectLifeOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006FC0,EnchElvenEldarCuirassResistNormalWeaponsOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,027156,ArmorDraconicArmorbootsOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006AC8,EnchBMithrilShieldFireShieldOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006FD1,EnchElvenEldarShieldReflectSpellOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,029F19,DaedricGauntletsVA,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0065BA,EnchBGlassGreavesFortLightArmorOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,03DDF6,HeavyBraidedGreavesOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0020DE,EnchRLeatherHelmetFortMagickaOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,005BD0,ArcticFurHelmOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0020D6,EnchRLeatherGauntletsDetectLifeOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,027150,drgauntOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,001F39,OffhandIvoryKnifeOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0065C2,EnchBGlassShieldReflectSpellOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0079F8,EnchRGlassGreavesFortLightArmorOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,007A00,EnchRGlassShieldReflectSpellOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,001BDA,EnchDMithrilShieldLightOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,03885C,ShadowMailCuirassOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,048F58,DefStaffAshenwoodOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,027152,drhelmOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0072F4,NobleshieldOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0079FA,EnchRGlassGreavesResistParalysisOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,025BBF,YinYangShieldHeavyOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006FBC,EnchElvenEldarBootsWaterwalkingOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006FBD,EnchElvenEldarCuirassCameleonOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006FC2,EnchElvenEldarGauntletsDetectLifeOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,01ABFA,DaedricCuirassLavaOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006A90,RLeatherBootsOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,001F3A,OffhandWhiteKnifeOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0392F0,EYCCAcuirassOOO,"APW - Conflict Resolution.esp|Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp|APW - Conflict Resolution.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,003C19,LegionHelmetImperial,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006AB8,EnchBMithrilGreavesFortAgilityOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0392F1,EYCCAgauntlesOOO,"APW - Conflict Resolution.esp|Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp|APW - Conflict Resolution.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,048F4A,EnchElvenEldar3ShieldMirrorOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006A92,RLeatherGauntletsOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,000D86,MithrilGauntletsWorn,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,005DCA,EnchObsidianGauntletsResistParalysis,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,007006,EnchGMithrilGreavesFortAgilityOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0020DD,EnchRLeatherHelmetDetectLifeOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,001BCE,EnchDMithrilGauntletsFortStrengthOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,003C15,LegionBootsImperial,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006FE7,EnchElvenEldar2GreavesResistParalysisOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,001762,ChainmailShieldWorn,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,026C63,pegasushelmetOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0065B1,EnchBGlassCuirassFortMercantileOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,006A95,DMithrilBootsOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,001BD2,EnchDMithrilGreavesResistParalysisOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0329D5,vellaShadowsCowlOOO,"APW - Conflict Resolution.esp|Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp|APW - Conflict Resolution.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,00175F,ChainmailGauntletsWorn,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,001BCB,EnchDMithrilGauntletsDetectLifeOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,034944,DremoraMQ14MarkynazGreavesPlayable,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,0429E1,BMithrilShieldOOOz,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,00CFD0,ObsidianGauntlets,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,001210,DwarvenHelmetUsed,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,005DCD,EnchObsidianGreavesResistFire,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,005DD2,EnchObsidianShieldShield,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,027159,ArmorDraconicArmorgreavesOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,048F36,EnchElvenEldar3BootsFortSpeedOOO,"Bashed Patch, 0.esp","OOO Enhanced.esp|Bashed Patch, 0.esp",OOO Enhanced.esp
