src,sig,local_fid,edid,apw_overriders
OOO Enhanced.esp,ARMO,000F78,sOOORangerCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,001C7F,sOOOdragongauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,001DCA,SotonhorianAdamantiumCuirassSlaverUniqueSOOO,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,00216D,prdivgucapedark,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,00216E,prdivgucuirassdark,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,00216F,prdivgugauntletsdark,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,002360,sOOOAmazonParadiseBoots,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,002374,OrcaBretonCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,002653,sOOOElvenDarkGreaves,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,002655,sOOOElvenDarkGreaves2,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,002CA4,EnchOrcishGauntletsSOOOSpecialMarauderBossNaGarok,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,002F32,DLCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,002F35,DLGauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,003B91,sOOOSorcererRedArmourArchMage,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,003B94,sOOOSorcererRedGauntletsArchMage,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,003BE7,sOOODreadGauntletsOld,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,003BE8,sOOODreadCuirassOld,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,003EB9,LeatherCuirassBlue,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,003EBC,LeatherGauntletsBlue,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,0045B6,OrcaAzureGlassCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,0045B7,OrcaAzureGlassGauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,0045BC,OrcaAmethystusGlassCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,0045BD,OrcaRedAstralGlassCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,0045BE,OrcaRedAstralGlassGauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,0045D2,OrcaBretonGauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,0047A4,RSNordChainmailCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,006233,sOOOElvenDarkCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,0070ED,RSNordWarCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,007572,OrcaFurCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,007AC8,PegasusGauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,007ACA,PegasusCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,0097EE,OrcaPurpleAstralGlassCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,009EC4,OrcaPurpleAstralGlassGauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,00AED9,AOHWFuryReflectCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,00AEDA,AOHWFuryReflectGauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,00CE37,sOOODarkLegionCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,00CE38,sOOODarkLegionGauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,00D574,sOOOAmazonParadiseDefStaff,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,00F731,OrcaGreenAstralGlassCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,00F732,OrcaGreenAstralGlassGauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,03193F,AOHWFuryNoReflectCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,031940,AOHWFuryNoReflectGauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,06708C,aaaElvenGearCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,067099,GlassArmorN,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,06709C,GlassArmorNR,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,067132,praodncuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,067133,praodngauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,067139,prbercuirasssteel,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,06713A,prbergauntletssteel,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,06713F,prbercape,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,067141,sOOOFormidableObsidianCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,067142,sOOOFormidableObsidianGauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,067149,akitoruscuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,06714C,akitorusgauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100ED9,aaaMixxa77RedBattlemageCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100EDA,aaaMixxa77RedBattlemageGauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100EDE,aaaMixxa77BlackBattlemageCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100EDF,aaaMixxa77BlackBattlemageGauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100EEB,sOOOdragoncuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100F04,sOOOMagElvenAssassinCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100F05,sOOOMagElvenAssassinCuirassCape,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100F06,sOOOMagElvenAssassinGauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100F0A,sOOOMagElvenRangerCuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100F0B,sOOOMagElvenRangerCuirassCape,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100F0C,sOOOMagElvenRangerGauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100F10,GizmodianArtificeArtificeArmorAsym,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,100F11,GizmodianArtificeArtificeArmorSym,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,100F6B,prpalcuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100F6C,prpalgauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100F6F,prpalhelmet2,APW Merge.esp
OOO Enhanced.esp,ARMO,100F71,prdivgucuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100F72,prdivgugauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100F76,prdivgucape,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100F7A,prdhcuirass,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100F7B,prdhgauntlets,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100F7F,prdhaccessoire,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100F80,prdhcape,"Bashed Patch, 0.esp"
OOO Enhanced.esp,ARMO,100FD1,GizmodianAmazonPriestessgizAmazonPriestessSuit,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,100FD2,GizmodianAmazonPriestessgizAmazonPriestessSuitV2,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,100FD3,GizmodianAmazonPriestessgizAmazonPriestessHelmV1,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,100FD4,GizmodianAmazonPriestessgizAmazonPriestessHelmV1T,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,100FD5,GizmodianAmazonPriestessgizAmazonPriestessHelmV2nof,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,100FD6,GizmodianAmazonPriestessgizAmazonPriestessHelmV2nofT,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,101090,sOOOAmazonSeductress01Boots,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,101091,sOOOAmazonSeductress01Gloves,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,101092,sOOOAmazonSeductress01Greaves,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,101093,sOOOAmazonSeductress01cuirass,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,101094,sOOOAmazonSeductress01Tiara,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,103858,sOOOAmazonParadiseShield,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,103859,sOOOAmazonParadiseCuirass,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,10385D,sOOOAmazonParadiseGauntlets,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,10385E,sOOOAmazonParadiseGreaves,APW - Conflict Resolution.esp
OOO Enhanced.esp,ARMO,10385F,sOOOAmazonParadiseHelmet,APW - Conflict Resolution.esp
OOOShiveringIsles.esp,ARMO,008306,OOOSEUniqueDragonFists,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,02B613,OOOSEHereticArmor,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,02B615,OOOSEZealotArmor,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,035F17,OOOSEObeliskArmor1,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,035F18,OOOSEObeliskArmor2,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,035F19,OOOSEObeliskArmor3,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,035F1A,OOOSEObeliskArmor4,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,035F1B,OOOSEObeliskArmor5,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,035F1C,OOOSEObeliskArmor6,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,035F1D,OOOSEObeliskSuit1,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,035F1E,OOOSEObeliskSuit2,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,035F1F,OOOSEObeliskSuit3,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,035F20,OOOSEObeliskSuit4,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,035F21,OOOSEObeliskSuit5,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,035F22,OOOSEObeliskSuit6,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,037D62,OOOSEPriestOrderMask,APW - Conflict Resolution.esp
OOOShiveringIsles.esp,ARMO,037D63,OOOSEPriestOrderRobe,APW - Conflict Resolution.esp
OOOShiveringIsles.esp,ARMO,037D64,OOOSEOrderShieldKnight,APW - Conflict Resolution.esp
OOOShiveringIsles.esp,ARMO,059138,OOOSEHerdirArmor,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,060F44,OOOSEKnightThornArmor,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,08050F,OOOSEBonemoldArmorNPC,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,095BD1,OOOSEBonemoldArmor,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,12D183,OOOSEZealotRobe4BossArmor,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,12D184,OOOSEZealotRobe4Armor,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,12D185,OOOSEGoldenFlameRobeArmor,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,12D186,OOOSEHereticRobe4BossArmor,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,12D187,OOOSEHereticRobe4Armor,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,12D188,OOOSEHereticRobe5Armor,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,12D189,OOOSEHereticRobe5BossArmor,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,12D18A,OOOSEZealotRobe5BossArmor,"Bashed Patch, 0.esp"
OOOShiveringIsles.esp,ARMO,12D18B,OOOSEZealotRobe5Armor,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,0011EB,DwarvenCuirassUsed,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,001204,DwarvenGauntletsUsed,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,00126C,BikCuirassOOO,APW - Conflict Resolution.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,00126E,BikGreavesOOO,APW - Conflict Resolution.esp
Oscuro's_Oblivion_Overhaul.esm,ARMO,001C4A,LeatherCuirassWorn,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,001C4B,LeatherGauntletsWorn,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,001C50,IronCuirassWorn,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,001C51,IronGauntletsWorn,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,00210B,OrcishCuirassUsed,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,002AEF,OrcishGauntletsUsed,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,003C1C,GriffinArmorCuirassOOO,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,0046DC,HeavenFuryCuirass,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,0046DD,HeavenFuryGauntlets,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,005675,1grayfoxscuirass,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,005676,1grayfoxsgloves,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,021BC2,SteelCuirassWorn,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,021BC3,SteelGauntletsWorn,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,02715D,KDWhiteRoseGauntletsOOO,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,027163,KDWhiteRoseHGauntletsOOO,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,030DB8,FurCuirassWorn,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,0329D0,vellaGlassCuirassOOO,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,0329D1,vellaGlassGauntletsOOO,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,03AB96,DaedricCuirassQV,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,03AB97,DwarvenCuirassQV,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,03AB99,ElvenCuirassQV,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,03AB9A,GlassCuirassQV,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,03AB9B,IronCuirassQV,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,03AB9C,OrcishCuirassQV,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,03AB9D,SteelCuirassQV,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,03AB9E,DwarvenCuirassUsedQV,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,03AB9F,IronCuirassWornQV,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,03ABA0,OrcishCuirassUsedQV,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,03ABA1,SteelCuirassWornQV,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,0485D8,BlackwoodCuirassQV,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,0513CE,1grayfoxarmor,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,0513CF,1greyfoxscuirass,"Bashed Patch, 0.esp"
Oscuro's_Oblivion_Overhaul.esm,ARMO,0513D0,1greyfoxsgloves,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,00102F,sOOOLetterErwinVilverin,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,001068,sOOOLetterCarlaDuVreiPutridUnderworldHand,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,001965,sOOOHlucsNotes,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,001CE2,sOOOLostBoyDefeatedHeroNote,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,0020F1,sOOOArcticNewBossMission,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,002694,sOOOLettertoAmazonThirdManDevourerVampire,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,002C29,sOOOValenLareilEregorAuroraLetter,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,002FD6,sOOOGuardsAwareOfHlucTheVampire,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,0031D7,sOOOValenTeelchunsDiary,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,00356A,sOOOPutridValethLetterToCarlaDuVrey,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,00464E,sOOOAmazonThirdNotes,"Bashed Patch, 0.esp|APW - Conflict Resolution.esp"
OOO Enhanced.esp,BOOK,004CF2,sOOOAmazonBoss,"Bashed Patch, 0.esp|APW - Conflict Resolution.esp"
OOO Enhanced.esp,BOOK,005B1E,sOOOTG05PortalInstructions,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,00605B,sOOOWendelbekUnderworldPowerBook,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,00671C,sOOOPutridUnderworldPortalInfo,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,006739,sOOONewAyleidDungeonKvatchInfo,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,00693B,SaldronOOOCarrilloDiary,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,00693D,SaldronOOOCarrilloNotice,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,0084B1,SOOOWhiteHorrorItusHayn,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,0102A8,sOOOMannimarcoCarlaNote,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,01D370,TG05OOOITFortifyMyst,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,01FC93,TG05OOOITFortifyMystStrong,"Bashed Patch, 0.esp"
OOO Enhanced.esp,BOOK,02337F,SaldronOOORimbaudDiary,"Bashed Patch, 0.esp"
